"Date","Chrome 103.0","Chrome 97.0","Chrome 107.0","Chrome 105.0","Chrome 98.0","Chrome 100.0","Chrome 99.0","Chrome 104.0","Chrome 106.0","Chrome 102.0","Chrome 101.0","Safari 15.6","Chrome 108.0","Chrome 96.0","Safari 13.1","Safari 14.1","Chrome for Android","Safari 15.5","Safari 15.3","Edge 107","Safari 15.4","Edge 103","Edge 105","Edge 97","Edge 101","Edge 104","Edge 98","Edge 99","Safari 15.2","IE 11.0","Edge 106","Edge 100","Safari 15.1","Edge 102","Edge 108","Chrome 79.0","Safari 14.0","Chrome 87.0","Chrome 83.0","Safari 16.1","Safari 16.0","Firefox 106.0","Chrome 76.0","Firefox 96.0","Firefox 102.0","Firefox 97.0","Firefox 103.0","Firefox 105.0","Firefox 104.0","Firefox 98.0","Chrome 93.0","Mozilla 0","Firefox 99.0","Firefox 100.0","Firefox 107.0","Firefox 101.0","Chrome 94.0","Edge 96","Safari 15.0","Firefox 95.0","Chrome 56.0","Chrome 91.0","Safari 12.1","IE 9.0","Chrome 85.0","Chrome 84.0","Chrome 86.0","Chrome 92.0","Firefox 108.0","Chrome 89.0","Chrome 95.0","Firefox 78.0","Firefox 91.0","Chrome 81.0","Chrome 80.0","Edge 15","Edge 19","Opera 89.0","Opera 90.0","Opera 91.0","Chrome 66.0","Safari 604.1","Firefox 94.0","Safari 13.0","Opera 82.0","Chrome 90.0","Chrome 48.0","Opera 92.0","Opera 85.0","Chrome 49.0","Chrome 72.0","Safari 11.1","Safari 9.1","Opera 93.0","Opera 83.0","Opera 84.0","Firefox 52.0","Opera 88.0","Chrome 78.0","Edge 18","IE 8.0","Opera 86.0","Firefox 4.0","Chrome 88.0","Opera 87.0","Chrome 61.0","Firefox 11.0","Chrome 74.0","Safari 16.2","Edge 95","Chrome 40.0","360 Safe Browser 0","Edge 87","Chrome 70.0","Chrome 75.0","Firefox 44.0","Chrome 60.0","Safari 10.1","Chrome 67.0","Chrome 65.0","Chrome 109.0","Chrome 64.0","Chrome 77.0","Firefox 54.0","Chrome 69.0","Edge 16","Firefox 55.0","Safari 605.1","Chrome 43.0","Chrome 35.0","Firefox 89.0","Firefox 88.0","Edge 12","Chrome 73.0","Chrome 110.0","Firefox 93.0","Edge 85","Safari 9.0","Chrome 59.0","Chrome 71.0","Chrome 63.0","Firefox 56.0","Chrome 44.0","Safari 12.0","Firefox 81.0","Safari 537.36","Firefox 83.0","Firefox 82.0","Firefox 80.0","Chrome 47.0","Firefox 87.0","Chrome 62.0","Opera 94.0","Firefox 79.0","IE 10.0","Firefox 38.0","Chrome 52.0","Edge 17","Firefox 48.0","Chrome 68.0","Chrome 46.0","Firefox 51.0","Edge 92","Firefox 53.0","Safari 8.0","Firefox 90.0","Chrome 41.0","Chrome 45.0","Chrome 58.0","Firefox 59.0","Firefox 84.0","Edge 86","Edge 94","Chrome 38.0","Firefox 45.0","Firefox 57.0","Edge 84","Firefox 43.0","Firefox 72.0","Other"
2022-01,0,30.01,0,0,0.03,0.07,0.09,0,0,0,0,0,0,19.22,3.45,4.25,1.42,0,0.17,0,0.01,0,0,8.2,0,0,0.01,0.01,3.54,0.91,0,0,3.83,0,0,0.7,0.99,0.32,0.44,0,0,0,0.5,2.63,0,0.01,0,0,0,0,0.86,0.42,0,0,0,0,1.43,3.4,0.8,2.41,0.2,0.48,0.3,0.26,0.21,0.27,0.16,0.63,0,0.17,0.75,0.24,0.17,0.14,0.21,0.01,0.02,0,0,0,0.09,0.13,0.14,0.18,1.05,0.21,0.11,0,0,0.13,0.14,0.15,0.11,0,0.02,0,0.07,0,0.14,0.04,0.03,0,0.07,0.12,0,0.01,0.03,0.06,0,0.26,0.04,0.07,0.04,0.12,0.05,0.04,0.03,0.05,0.04,0.03,0,0.1,0.03,0.01,0.03,0.02,0.06,0.04,0.01,0.03,0.04,0.03,0.01,0.01,0,0.04,0.03,0.02,0.03,0.01,0.02,0.01,0,0.03,0.01,0.03,0.01,0.02,0.01,0.01,0.02,0,0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0,0.02,0,0.01,0.03,0,0,0.01,0.01,0.02,0.01,0.03,0.01,0.01,0,0.01,0.01,0.02,0.77
2022-02,0,17.24,0,0,29.69,0.11,0.04,0,0,0,0.04,0,0,2.72,3.45,3.5,1.38,0,2.87,0,0.05,0,0,2.61,0,0,8.8,0.01,3.93,1.42,0,0,1.56,0,0,0.88,0.87,0.3,0.65,0,0,0,0.48,1.87,0,2.96,0,0,0,0.01,0.73,0.39,0,0,0,0,0.84,0.15,0.55,0.13,0.18,0.43,0.28,0.16,0.19,0.25,0.15,0.32,0,0.17,0.26,0.23,0.2,0.14,0.18,0.06,0.15,0,0,0,0.1,0.13,0.16,0.16,0.21,0.18,0.12,0,0,0.12,0.61,0.13,0.11,0,0.76,0.05,0.07,0,0.12,0.54,0.03,0,0.07,0.11,0,0.01,0.02,0.05,0,0.13,0.05,0.04,0.06,0.11,0.05,0.04,0.12,0.06,0.04,0.03,0,0.1,0.03,0.02,0.03,0.02,0.02,0.05,0.02,0.04,0.03,0.03,0.02,0.01,0,0.03,0.02,0.02,0.03,0.01,0.02,0.01,0,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0,0,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0,0.02,0,0.01,0.02,0,0,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0,0.01,0.01,0.01,0.89
2022-03,0,2.1,0,0,14.13,0.37,32.24,0,0,0.06,0.09,0,0,1.6,3.42,2.78,1.88,0,6.86,0,0.68,0,0,0.21,0,0,2.44,9.18,1.01,0.77,0,0.01,0.77,0,0,0.85,0.77,0.28,0.68,0,0,0,0.57,0.08,0,1.74,0,0,0,3.13,0.76,0.39,0.01,0,0,0,0.59,0.06,0.39,0.05,0.22,0.38,0.26,0.17,0.17,0.26,0.14,0.28,0,0.19,0.17,0.21,0.2,0.14,0.15,0.39,0.16,0,0,0,0.1,0.14,0.17,0.15,0.02,0.17,0.13,0,0.01,0.12,0.28,0.12,0.1,0,0.25,0.74,0.09,0,0.13,0.04,0.04,0,0.07,0.08,0,0.03,0.03,0.03,0,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.09,0.05,0.04,0.03,0,0.04,0.03,0.02,0.03,0.01,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.06,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.94
2022-04,0.06,0.83,0,0,1.86,34.66,10.55,0,0,0.08,0.5,0,0,1.04,2.83,2.44,2.56,0.02,4.22,0,4.38,0,0,0.17,0.17,0,0.14,1.72,0.7,0.94,0,10.1,0.58,0,0,1.01,0.7,0.26,0.81,0,0,0,0.65,0.03,0,0.09,0,0,0,1.3,0.37,0.41,3.65,0.01,0,0,0.34,0.03,0.3,0.04,0.24,0.3,0.25,0.2,0.15,0.26,0.15,0.2,0,0.22,0.17,0.16,0.21,0.15,0.15,0.68,0.12,0,0,0,0.14,0.14,0.22,0.14,0.01,0.13,0.14,0,0.71,0.14,0.04,0.11,0.11,0,0.01,0.2,0.12,0,0.09,0.04,0.05,0.01,0.08,0.06,0,0.06,0.04,0.03,0,0.04,0.06,0.04,0.06,0.02,0.04,0.05,0.04,0.04,0.04,0.05,0,0.03,0.03,0.04,0.03,0.23,0.07,0.02,0.04,0.02,0.02,0.03,0.02,0.04,0,0.04,0.02,0.02,0.04,0.01,0.04,0.05,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.04,0.01,0.02,0,0.01,0.02,0.02,0.03,0.02,0.01,0.01,0.03,0.06,0.02,0.06,0.01,0.02,0.02,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.95
2022-05,0.06,0.55,0,0,0.97,11.89,1.48,0.06,0,2.39,30.93,0,0,0.61,1.61,1.97,2.14,0.85,1.16,0,6.95,0,0,0.05,10.75,0,0.06,0.2,0.44,4.04,0,0.84,0.39,0.01,0,1.03,0.59,0.3,0.91,0,0,0,0.63,0.02,0,0.04,0,0,0,0.07,0.29,0.39,0.98,3.87,0,0.03,0.21,0.02,0.23,0.02,0.19,0.22,0.23,0.2,0.23,0.34,0.23,0.15,0,0.17,0.12,0.15,0.2,0.15,0.14,0.58,1.16,0,0,0,0.14,0.13,0.2,0.12,0,0.11,0.14,0,0.53,0.13,0.02,0.1,0.12,0,0,0.01,0.11,0,0.06,0.05,0.05,0.51,0.09,0.05,0.03,0.08,0.07,0.04,0,0.03,0.06,0.04,0.12,0.02,0.04,0.05,0.04,0.04,0.04,0.04,0,0.03,0.02,0.04,0.03,0.01,0.06,0.01,0.03,0.02,0.02,0.02,0.03,0.01,0,0.02,0.02,0.02,0.03,0.01,0.04,0.04,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.01,0.05,0,0.02,0.01,0.01,0.03,0.01,0.01,0.02,0.02,0.05,0.01,0.05,0.01,0.01,0.02,0.02,0.03,0.02,0.01,0.02,0.01,0.01,0.02,0.03,0.02,0.01,0.01,0.92
2022-06,3.41,0.32,0,0.09,0.61,1.59,0.71,0.07,0,37.5,5.04,0.01,0,0.31,1.67,1.8,1.84,6.86,0.75,0,2.18,2.01,0,0.01,1.61,0,0.03,0.06,0.34,0.53,0,0.15,0.34,9.42,0,1,0.57,4.4,0.82,0,0.02,0,0.58,0.02,0.18,0.03,0,0,0,0.04,0.23,0.39,0.07,0.68,0,4.38,0.14,0.02,0.19,0.02,0.21,0.17,0.23,0.13,0.21,0.12,0.14,0.1,0,0.18,0.09,0.16,0.24,0.15,0.14,0.01,0,0,0,0,0.14,0.13,0.12,0.13,0,0.08,0.09,0,0.03,0.1,0.02,0.11,0.11,0,0,0,0.1,0.11,0.09,0.04,0.03,0.39,0.08,0.04,0.8,0.08,0.11,0.05,0,0.02,0.04,0.03,0.04,0.02,0.04,0.04,0.02,0.04,0.03,0.03,0,0.01,0.02,0.05,0.03,0.01,0.01,0.02,0.01,0.03,0.02,0.02,0.02,0.01,0,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.62
2022-07,43.29,0.31,0,0.1,0.52,0.6,0.4,0.08,0.08,5.06,0.97,0.41,0,0.26,1.8,1.73,2.31,8.77,0.59,0,1.12,13.05,0.01,0.01,0.26,0.01,0.02,0.03,0.3,0.49,0,0.05,0.29,0.55,0,0.78,0.55,0.23,0.64,0,0.04,0,0.54,0.01,4.53,0.02,0.54,0,0,0.02,0.23,0.41,0.03,0.08,0,0.41,0.13,0.01,0.17,0.03,0.26,0.15,0.22,0.2,0.21,0.12,0.15,0.1,0,0.15,0.07,0.14,0.21,0.15,0.16,0.01,0,0.38,0,0,0.15,0.14,0.06,0.13,0,0.08,0.1,0,0.02,0.11,0.02,0.11,0.07,0,0,0,0.1,1.03,0.09,0.03,0.06,0.01,0.08,0.06,0.07,0.06,0.07,0.04,0,0.01,0.06,0.04,0.05,0.02,0.04,0.04,0.01,0.04,0.03,0.03,0,0.01,0.02,0.02,0.03,0.01,0.01,0.02,0.01,0.02,0.04,0.02,0.02,0.01,0,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.61
2022-08,17.12,0.23,0.09,0.13,0.33,0.45,0.24,32.7,0.13,1.32,0.59,6.71,0,0.3,1.72,1.44,2.35,2.89,0.44,0,0.74,3.5,0.01,0.01,0.17,9.88,0.01,0.02,0.23,0.51,0,0.03,0.23,0.13,0,0.32,0.48,0.28,0.25,0.01,0.05,0,0.37,0.01,0.27,0.02,4.2,0,0.87,0.02,0.24,0.37,0.03,0.04,0,0.08,0.09,0.01,0.13,0.02,0.34,0.13,0.21,0.34,0.23,0.18,0.22,0.09,0,0.15,0.06,0.13,0.2,0.15,0.16,0.01,0,1.12,0.12,0,0.16,0.13,0.07,0.12,0,0.07,0.1,0,0.01,0.1,0.02,0.1,0.07,0,0,0,0.08,0.04,0.06,0.04,0.11,0,0.08,0.07,0.01,0.07,0.07,0.03,0,0.01,0.05,0.04,0.03,0.02,0.04,0.03,0.01,0.04,0.04,0.03,0,0.01,0.02,0.06,0.03,0.01,0.01,0.02,0.02,0.01,0.03,0.02,0.02,0.01,0,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.03,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0,0,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.63
2022-09,2.68,0.18,0.12,34.51,0.19,0.41,0.21,13.33,0.59,1.02,0.43,8.18,0.11,0.3,1.69,1.26,1.95,1.16,0.35,0,0.51,0.17,10.85,0.01,0.06,2.28,0.01,0.01,0.2,0.58,0.01,0.02,0.19,0.05,0,0.24,0.43,0.3,0.26,0.05,0.77,0.01,0.3,0.01,0.13,0.01,0.32,1.12,3.76,0.01,0.23,0.37,0.02,0.03,0,0.04,0.08,0.01,0.11,0.01,0.31,0.11,0.2,0.3,0.34,0.24,0.31,0.09,0,0.18,0.04,0.12,0.17,0.16,0.15,0.01,0,0.13,1.05,0.05,0.13,0.12,0.09,0.1,0,0.07,0.09,0,0.01,0.09,0.02,0.08,0.06,0,0,0,0.08,0.01,0.07,0.05,0.11,0,0.08,0.06,0,0.05,0.06,0.04,0,0.01,0.06,0.04,0.02,0.02,0.04,0.03,0.02,0.03,0.04,0.02,0,0.01,0.05,0.04,0.02,0.01,0.01,0.02,0.04,0.01,0.01,0.02,0.03,0.01,0,0.01,0.02,0.02,0.01,0.03,0.01,0.01,0.06,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0,0.02,0.02,0.03,0.01,0.01,0.01,0.02,0.01,0,0.01,0,0.02,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0,0.01,0.01,0.01,1.02
2022-10,1.82,0.19,1.43,14.84,0.13,0.77,0.15,1.67,32,0.74,0.38,7.09,0.11,0.22,2.27,1.2,1.43,0.93,0.31,0.84,0.43,0.14,2.43,0.01,0.02,0.23,0.01,0.01,0.18,0.53,9.68,0.01,0.18,0.03,0,0.24,0.43,0.21,0.27,0.27,2.19,1.59,0.25,0.01,0.2,0.01,0.09,3.4,0.23,0.01,0.21,0.37,0.02,0.03,0.01,0.03,0.07,0.01,0.1,0.02,0.26,0.11,0.19,0.3,0.17,0.14,0.22,0.07,0,0.14,0.05,0.12,0.07,0.18,0.12,0.01,0,0.01,0.38,0.9,0.13,0.11,0.1,0.09,0,0.06,0.1,0.03,0.01,0.08,0.02,0.08,0.1,0,0,0,0.09,0,0.04,0.03,0.14,0.01,0.08,0.06,0,0.09,0.05,0.04,0,0.01,0.05,0.06,0.03,0.02,0.04,0.03,0.02,0.03,0.03,0.04,0.12,0,0.04,0.02,0.02,0.01,0.01,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0,0.01,0.02,0.02,0.01,0.03,0.01,0.01,0.05,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.02,0.01,0.02,0.03,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0.97
