"Date","Chrome 114.0","Chrome 111.0","Chrome 112.0","Chrome 116.0","Chrome 109.0","Chrome 115.0","Chrome 110.0","Chrome 119.0","Safari 16.3","Chrome 118.0","Safari 16.6","Safari 15.6","Chrome 113.0","Chrome 117.0","Safari 16.5","Chrome 108.0","Chrome for Android","Edge 112","Edge 111","Safari 16.4","Safari 16.2","Edge 114","Safari 14.1","Chrome 103.0","Edge 110","Safari 16.1","Chrome 120.0","Opera 102.0","Edge 115","Edge 119","Opera 99.0","Edge 117","Edge 113","Safari 13.1","Edge 109","Safari 15.5","Edge 116","Edge 118","Chrome 93.0","Opera 97.0","Opera 98.0","Chrome 79.0","Safari 9.1","Firefox 111.0","Opera 100.0","Firefox 115.0","Firefox 112.0","Safari 16.0","Chrome 83.0","Safari 17.1","Safari 14.0","Chrome 107.0","Safari 17.0","Chrome 76.0","Firefox 110.0","Edge 108","Firefox 118.0","Firefox 119.0","Safari 15.4","Edge 120","Chrome 87.0","Edge 87","Opera 96.0","Firefox 114.0","Chrome 56.0","Safari 15.3","Firefox 117.0","Firefox 113.0","Opera 101.0","Opera 104.0","Firefox 116.0","Mozilla 0","Chrome 105.0","Chrome 86.0","Firefox 109.0","Chrome 85.0","Chrome 80.0","Chrome 81.0","Chrome 102.0","Firefox 120.0","Chrome 91.0","IE 11.0","Safari 15.1","Firefox 102.0","Firefox 108.0","Opera 95.0","Chrome 90.0","Chrome 104.0","Chrome 101.0","Safari 15.2","Chrome 88.0","Firefox 78.0","Safari 12.1","Chrome 106.0","Chrome 89.0","Chrome 84.0","Chrome 99.0","Chrome 100.0","Chrome 97.0","Chrome 74.0","Chrome 75.0","Opera 105.0","Chrome 78.0","Opera 103.0","Chrome 68.0","Opera 94.0","Safari 15.0","Chrome 72.0","Chrome 69.0","Chrome 98.0","Chrome 92.0","Chrome 77.0","Chrome 96.0","Safari 604.1","Safari 13.0","Chrome 71.0","Firefox 11.0","Chrome 48.0","Chrome 49.0","Chrome 94.0","Chrome 70.0","Firefox 52.0","Chrome 66.0","Edge 107","Edge 99","IE 8.0","Chrome 95.0","Firefox 94.0","IE 9.0","Firefox 121.0","Safari 17.2","Chrome 65.0","360 Safe Browser 0","Opera 93.0","Chrome 73.0","Chrome 69.2","Edge 84","Safari 605.1","Chrome 61.0","Edge 83","Edge 86","Firefox 48.0","Firefox 44.0","Edge 92","Edge 80","Firefox 107.0","Edge 81","Chrome 67.0","Chrome 40.0","Firefox 91.0","Edge 89","Edge 85","Edge 90","Firefox 72.0","Firefox 84.0","Safari 537.36","Opera 55.0","Opera 89.0","Chrome 45.0","Firefox 101.0","Safari 11.1","Edge 102","Edge 88","Firefox 4.0","Edge 18","Opera 54.0","Edge 12","Firefox 105.0","Firefox 54.0","Chrome 35.0","Safari 12.0","Firefox 83.0","Chrome 44.0","Chrome 60.0","Edge 106","Safari 9.0","Edge 101","Firefox 106.0","Firefox 104.0","Chrome 41.0","Chrome 63.0","Firefox 38.0","Edge 103","Opera 53.0","Chrome 43.0","Firefox 59.0","Firefox 103.0","Chrome 62.0","Chrome 47.0","Other"
2023-01,0,0.15,0.03,0,18.58,0,0.08,0,0.24,0,0,5.04,0,0,0,26.5,2.15,0,0,0,3.72,0,1.09,1.32,0,1.73,0,0,0,0,0,0,0,1.03,5.84,0.68,0,0,0.25,0,0,0.29,0.32,0,0,0,0,0.63,0.29,0,0.4,1.68,0,0.21,0.01,6.43,0,0,0.35,0,0.29,0.04,0,0,0.66,0.27,0,0,0,0,0,0.36,0.63,0.25,1.64,0.18,0.12,0.24,0.72,0,0.17,0.32,0.16,0.22,3.01,0,0.21,0.54,0.46,0.16,0.13,0.14,0.17,0.53,0.2,0.15,0.4,0.42,0.39,0.07,0.06,0,0.06,0,0.04,0.95,0.09,0.05,0.04,0.33,0.17,0.04,0.34,0.11,0.11,0.05,0.07,0.09,0.07,0.13,0.04,0.07,0.13,0.43,0.01,0.13,0.25,0.09,0.16,0,0,0.03,0.06,0.54,0.05,0,0.04,0.03,0.01,0.01,0.03,0.03,0.03,0.03,0.01,0.14,0.01,0.03,0.04,0.03,0.03,0.03,0.03,0.01,0.01,0.04,0.01,0.02,0.01,0.02,0.02,0.03,0.03,0.01,0.02,0.01,0.05,0.04,0.02,0.04,0.01,0.02,0.01,0.01,0.07,0.01,0.03,0.05,0.03,0.01,0.01,0.01,0.06,0.01,0.01,0.01,0.02,0.01,0.01,1.52
2023-02,0,0.08,0.16,0,26.04,0,15.43,0,3.06,0,0,4.22,0.03,0,0,4.64,2.52,0,0.01,0.02,4.63,0,1.26,1.06,7.17,1.35,0,0,0,0,0,0,0,1.03,4.94,0.78,0,0,0.3,0,0,0.34,0.4,0.01,0,0,0,0.45,0.32,0,0.43,0.68,0,0.31,1.84,0.34,0,0,0.39,0,0.26,0.03,0.01,0,0.5,0.3,0,0,0,0,0,0.33,0.57,0.26,2.77,0.23,0.16,0.22,0.46,0,0.15,0.29,0.2,0.26,0.18,0.55,0.15,0.29,0.25,0.17,0.11,0.14,0.15,0.33,0.16,0.15,0.17,0.16,0.2,0.08,0.08,0,0.09,0,0.05,0.82,0.12,0.07,0.05,0.12,0.07,0.06,0.11,0.1,0.09,0.07,0.07,0.08,0.07,0.09,0.05,0.06,0.1,0.44,0.01,0.11,0.04,0.08,0.07,0,0,0.02,0.06,0.08,0.05,0.01,0.02,0.03,0.04,0.02,0.02,0.03,0.03,0.01,0.02,0.05,0.02,0.03,0.04,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.03,0.01,0.02,0.01,0.02,0,0.02,0.02,0.01,0.01,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,1.18
2023-03,0.04,21.83,0.07,0,4.09,0,17.73,0,7.61,0,0,3.5,0.14,0,0,1.63,2.72,0.04,7.06,0.13,2.14,0,1.37,1.13,5.86,1.19,0,0,0,0,0,0,0,0.98,0.3,0.78,0,0,0.39,0.02,0,0.31,0.18,1.93,0,0,0.01,0.39,0.24,0,0.45,0.41,0,0.3,2.25,0.1,0,0,0.41,0,0.37,0.02,1.5,0,0.46,0.31,0,0,0,0,0,0.3,0.4,0.16,0.13,0.23,0.11,0.16,0.33,0,0.17,0.24,0.19,0.25,0.05,0.83,0.09,0.28,0.17,0.18,0.06,0.15,0.17,0.22,0.11,0.11,0.15,0.12,0.19,0.04,0.06,0,0.05,0,0.02,0.04,0.1,0.03,0.03,0.1,0.09,0.04,0.11,0.1,0.09,0.04,0.06,0.08,0.06,0.1,0.02,0.06,0.08,0.04,0.01,0.1,0.05,0.07,0.07,0,0,0.04,0.06,0.01,0.01,0.01,0.01,0.03,0.06,0.01,0.01,0.02,0.02,0.01,0,0.02,0,0.03,0.03,0.02,0.01,0.01,0.01,0.03,0.01,0.02,0,0.01,0.01,0.01,0.02,0.01,0,0.02,0.02,0,0.01,0.02,0.01,0.03,0.01,0.02,0.01,0.03,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0,0.01,0.01,0.01,0.01,0.01,1.34
2023-04,0.07,19.07,18.53,0,2.04,0.01,1.65,0,6.61,0,0,3.65,0.07,0,0.06,0.81,4.36,8.8,4.06,2.75,1.81,0,1.42,1.09,0.17,1.24,0,0,0,0,0,0,0.01,0.86,0.19,0.89,0,0,0.66,1.79,0.08,0.78,0.32,1.9,0,0,1.71,0.41,0.7,0,0.49,0.22,0,0.24,0.09,0.04,0,0,0.49,0,0.31,0.03,0.76,0,0.37,0.37,0,0.01,0,0,0,0.26,0.28,0.16,0.05,0.16,0.14,0.17,0.21,0,0.2,0.27,0.22,0.21,0.03,0.09,0.11,0.11,0.12,0.2,0.1,0.12,0.19,0.14,0.11,0.11,0.14,0.11,0.17,0.06,0.06,0,0.06,0,0.05,0.01,0.12,0.05,0.04,0.08,0.1,0.05,0.08,0.09,0.09,0.09,0.04,0.07,0.05,0.1,0.04,0.06,0.07,0.02,0.01,0.08,0.04,0.07,0.06,0,0,0.03,0.04,0.01,0.02,0.01,0.02,0.03,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.04,0.02,0.01,0.01,0.01,0.04,0,0.01,0.01,0.01,0.05,0.01,0.01,0.03,0.01,0.02,0.01,0.01,0.01,0.02,0.03,0.02,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0,0.03,0.01,0.01,0.01,0.01,1.23
2023-05,0.18,2.84,15.17,0.02,2.1,0.07,0.67,0,3.85,0,0.02,3.67,19.68,0,0.56,0.67,3.81,4.21,0.12,7.14,1.56,0,1.57,0.95,0.05,1.29,0,0,0.01,0,0.05,0,6.37,0.76,0.15,0.92,0,0,0.56,1.62,3.62,0.82,0.28,0.1,0,0.01,1.36,0.4,0.75,0,0.53,0.15,0,0.3,0.03,0.02,0.01,0.01,0.49,0,0.42,0.02,0.07,0.02,0.31,0.4,0.01,1.74,0,0,0.01,0.22,0.26,0.16,0.04,0.2,0.17,0.16,0.2,0.01,0.19,0.19,0.23,0.24,0.02,0.06,0.12,0.1,0.12,0.2,0.1,0.14,0.21,0.1,0.09,0.08,0.15,0.08,0.07,0.08,0.07,0,0.05,0,0.04,0.02,0.15,0.05,0.05,0.07,0.11,0.05,0.09,0.08,0.09,0.03,0.03,0.06,0.05,0.05,0.03,0.04,0.06,0.02,0.01,0.05,0.06,0.04,0.04,0.01,0,0.04,0.03,0.01,0.03,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.02,0.04,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.04,0.05,0.02,0.01,0.07,0.03,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0,0.02,0.01,0.03,0.01,0.01,0.94
2023-06,25.46,1.9,2.2,0.08,2.08,0.07,0.39,0,2.81,0,0.1,3.17,10.21,0.02,7.51,0.41,0.56,0.74,0.07,1.97,1.23,7.07,1.33,1.08,0.03,1.07,0,0,0.01,0,4.6,0,1.78,0.67,0.14,0.81,0,0,0.83,0.09,2.71,0.58,0.54,0.05,0.04,0.02,0.18,0.32,0.49,0,0.52,0.1,0.02,0.51,0.03,0.02,0.01,0.01,0.43,0,0.31,0.02,0.06,2.21,0.23,0.35,0.01,1.23,0,0,0.01,0.22,0.23,0.24,0.02,0.32,0.23,0.2,0.18,0.01,0.23,0.13,0.21,0.21,0.03,0.07,0.2,0.12,0.13,0.19,0.16,0.21,0.16,0.07,0.13,0.14,0.14,0.09,0.06,0.14,0.14,0,0.12,0,0.1,0,0.13,0.1,0.09,0.07,0.08,0.1,0.07,0.07,0.09,0.07,0.04,0.06,0.1,0.06,0.06,0.06,0.06,0.02,0.04,0.05,0.03,0.03,0.04,0.01,0,0.05,0.02,0,0.04,0.06,0.04,0.03,0.05,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.06,0.02,0.02,0.02,0.01,0.09,0.03,0.02,0.01,0,0.01,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,1.01
2023-07,35.45,1.14,0.85,0.05,1.72,4.76,0.47,0,1.89,0,0.2,2.28,1.27,0.04,8.39,0.44,0.63,0.36,0.24,0.71,0.84,6.44,1,0.85,0.02,0.77,0,0,1.98,0,3.64,0,0.1,0.61,0.14,0.52,0.01,0,0.67,0.24,0.04,0.85,1.11,0.06,1.74,2.54,0.3,0.98,0.72,0,0.39,0.29,0.07,0.57,0.02,0.02,0,0,0.3,0,0.41,0.04,0.03,0.98,0.25,0.28,0,0.09,0.02,0,0.01,0.21,0.13,0.43,0.02,0.4,0.34,0.29,0.13,0,0.22,0.13,0.15,0.19,0.03,0.06,0.29,0.12,0.15,0.14,0.3,0.17,0.11,0.05,0.23,0.21,0.08,0.11,0.07,0.19,0.19,0,0.18,0,0.24,0,0.08,0.17,0.15,0.05,0.06,0.15,0.06,0.07,0.06,0.11,0.03,0.06,0.07,0.05,0.12,0.05,0.05,0.01,0.09,0.03,0.03,0.05,0.04,0,0,0.03,0.02,0,0.06,0.11,0.05,0.03,0.03,0.05,0.05,0.01,0.03,0.02,0.04,0.01,0.05,0.01,0.02,0.01,0.04,0.03,0.03,0.01,0.01,0.01,0.03,0.01,0,0,0.01,0.01,0.03,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0,0.01,0.86
2023-08,7.42,1.21,0.76,8.67,1.68,28.2,0.63,0,1.57,0.01,5.85,2.08,0.75,0.04,4.16,0.65,0.67,0.44,0.43,0.76,0.74,0.35,0.92,0.75,0.02,0.69,0,0.01,6.54,0,0.1,0.01,0.04,0.51,0.12,0.46,1.93,0,0.57,0.42,0.01,0.59,0.73,0.02,2.43,0.94,0.32,0.82,0.46,0,0.39,0.47,0.09,0.49,0.02,0.01,0,0,0.26,0,0.28,0.02,0,0.07,0.22,0.24,0.08,0.04,0.99,0,2.4,0.19,0.13,0.3,0.02,0.26,0.36,0.22,0.1,0,0.16,0.12,0.15,0.18,0.02,0.05,0.19,0.11,0.1,0.14,0.18,0.16,0.1,0.07,0.14,0.14,0.05,0.07,0.04,0.15,0.15,0,0.13,0,0.17,0,0.07,0.12,0.13,0.05,0.07,0.11,0.05,0.07,0.06,0.08,0.04,0.05,0.05,0.04,0.08,0.05,0.04,0.01,0.08,0.01,0.03,0.06,0.03,0,0,0.04,0.03,0,0.04,0.02,0.03,0.03,0.01,0.03,0.04,0.01,0.02,0.02,0.03,0.01,0.03,0.01,0,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0,0,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0,0.01,0.01,0.01,0,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.02,0,0.01,0.01,0.01,0.01,0.91
2023-09,3.02,1.48,0.94,28.8,1.75,5.71,0.82,0.06,1.33,0.05,8.65,1.96,0.41,6.51,1.63,0.84,0.75,0.64,0.64,0.76,0.59,0.12,0.86,0.76,0.02,0.59,0,1.25,0.32,0,0.08,3.03,0.02,0.5,0.11,0.39,4.23,0.01,0.56,0.63,0.02,0.62,0.9,0.02,0.94,0.39,0.31,0.26,0.46,0,0.33,0.68,0.27,0.52,0.02,0.01,0.18,0,0.24,0,0.29,0.03,0.01,0.03,0.15,0.2,2.59,0.03,1.7,0,0.25,0.19,0.11,0.31,0.02,0.32,0.27,0.23,0.09,0,0.17,0.12,0.14,0.18,0.02,0.04,0.23,0.11,0.1,0.13,0.22,0.13,0.09,0.08,0.16,0.15,0.06,0.07,0.05,0.17,0.15,0,0.15,0,0.13,0,0.06,0.14,0.13,0.06,0.05,0.12,0.04,0.06,0.06,0.1,0.04,0.05,0.06,0.03,0.1,0.05,0.04,0.01,0.08,0.01,0.04,0.03,0.03,0,0,0.05,0.03,0,0.05,0.06,0.04,0.03,0.01,0.04,0.04,0.05,0.02,0.02,0.04,0.01,0.03,0.01,0,0.01,0.03,0.02,0.02,0,0,0.01,0.02,0.03,0.01,0.01,0.01,0,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0,0.01,0,0,0,0.01,0.01,0.01,0,0.02,0,0.01,0,0.02,0.01,1.02
2023-10,1.96,1.14,0.72,4.33,1.54,1.29,0.68,0.06,1.25,17.06,7.75,1.9,0.27,18.64,1.54,0.65,0.64,0.49,0.5,0.55,0.55,0.06,0.82,0.88,0.02,0.6,0.05,4.58,0.09,0.01,0.03,3.98,0.02,0.48,0.13,0.39,0.2,4.05,0.64,0.48,0.01,0.39,0.84,0.03,0.04,0.4,0.02,0.23,0.24,0.12,0.36,0.53,1.83,0.56,0.02,0.01,2.48,0.4,0.25,0,0.29,0.21,0,0.03,0.09,0.21,0.27,0.02,0.04,0.03,0.04,0.26,0.07,0.3,0.02,0.25,0.39,0.24,0.1,0,0.19,0.1,0.15,0.07,0.01,0.05,0.23,0.1,0.14,0.12,0.21,0.15,0.1,0.07,0.17,0.16,0.05,0.09,0.04,0.16,0.17,0,0.15,0.55,0.14,0,0.06,0.15,0.15,0.07,0.07,0.12,0.04,0.05,0.08,0.1,0.05,0.06,0.11,0.04,0.11,0.05,0.04,0.01,0.09,0.01,0.02,0.02,0.03,0,0,0.05,0.03,0.01,0.05,0.02,0.04,0.02,0.01,0.05,0.04,0.06,0.02,0.03,0.04,0.01,0.04,0.02,0,0.01,0.03,0.02,0.02,0.01,0,0.01,0.03,0,0.01,0.01,0.02,0,0.02,0.01,0.02,0.03,0.02,0.01,0.02,0,0.02,0.02,0.01,0.02,0.01,0.01,0,0,0,0.01,0.02,0.01,0,0.02,0.01,0.03,0,0.01,0.02,1.4
