"Date","Chrome 126.0","Chrome 125.0","Chrome 120.0","Chrome 121.0","Chrome 124.0","Chrome 130.0","Chrome 123.0","Chrome 131.0","Chrome 122.0","Chrome 127.0","Chrome 129.0","Chrome 128.0","Chrome for Android","Safari 17.5","Safari 17.6","Chrome 119.0","Edge 126","Edge 131","Safari 17.4","Safari 16.6","Chrome 109.0","Edge 122","Edge 130","Edge 120","Edge 121","Edge 129","Edge 124","Edge 128","Edge 127","Safari 17.2","Edge 125","Safari 17.3","Edge 123","Safari 15.6","Firefox 118.0","Chrome 103.0","Firefox 115.0","Chrome 117.0","Chrome 116.0","Chrome 118.0","Safari 17.1","Safari 18.1","Safari 16.3","Edge 87","Chrome 101.0","Firefox 128.0","Firefox 124.0","Firefox 132.0","Firefox 123.0","Firefox 122.0","Firefox 131.0","Chrome 114.0","Firefox 121.0","Firefox 129.0","Firefox 133.0","Firefox 130.0","Firefox 126.0","Firefox 125.0","Safari 18.0","Firefox 127.0","Safari 13.1","Safari 14.1","Chrome 104.0","Chrome 100.0","Opera 109.0","Opera 107.0","Chrome 110.0","Safari 16.5","Chrome 79.0","Chrome 86.0","IE 11.0","Mozilla 0","Chrome 102.0","Opera 114.0","Chrome 113.0","Firefox 11.0","Safari 17.0","Chrome 91.0","Safari 15.1","Edge 119","Chrome 81.0","Chrome 83.0","Firefox 119.0","Edge 109","Safari 16.1","Opera 106.0","Safari 16.2","Safari 16.4","Chrome 115.0","Chrome 108.0","Safari 16.0","Chrome 93.0","Opera 112.0","Chrome 112.0","Chrome 48.0","Safari 14.0","Chrome 87.0","Opera 113.0","Chrome 111.0","Opera 102.0","Firefox 120.0","Safari 604.1","Chrome 56.0","Chrome 107.0","Safari 15.5","Chrome 105.0","Safari 17.8","Safari 17.7","Opera 105.0","Chrome 106.0","Safari 15.4","Chrome 94.0","Opera 111.0","Safari 15.3","Firefox 78.0","Opera 108.0","Firefox 52.0","Safari 18.2","Chrome 49.0","Opera 95.0","IE 9.0","Opera 110.0","Safari 12.1","Chrome 99.0","Chrome 80.0","Chrome 85.0","360 Safe Browser 0","Firefox 44.0","Chrome 66.0","Safari 15.2","Firefox 94.0","Safari 9.1","Chrome 89.0","Chrome 88.0","Edge 118","Chrome 76.0","Safari 605.1","Chrome 97.0","Edge 99","Safari 15.0","Chrome 96.0","Chrome 90.0","Yandex Browser 23.9","Firefox 102.0","Chrome 92.0","Chrome 75.0","Chrome 78.0","Opera 115.0","Chrome 98.0","Safari 9.0","Firefox 101.0","Firefox 114.0","Chrome 95.0","Chrome 84.0","Chrome 74.0","Chrome 69.0","Firefox 88.0","Firefox 103.0","Firefox 113.0","Chrome 54.0","Safari 13.0","IE 8.0","Chrome 61.0","Chrome 132.0","Chrome 51.0","Safari 537.36","Chrome 77.0","Firefox 72.0","Edge 114","Edge 117","Firefox 117.0","Firefox 45.0","Chrome 47.0","Safari 11.1","Edge 18","Firefox 38.0","Chrome 67.0","Firefox 112.0","Edge 116","Chrome 52.0","Edge 110","Edge 107","Edge 108","Firefox 43.0","Firefox 108.0","Edge 115","Chrome 72.0","Firefox 104.0","Chrome 53.0","Edge 112","Other"
2024-01,0,0,32.48,2.22,0,0,0.02,0,0.07,0,0,0,2.29,0,0,9.35,0,0,0,1.79,1.53,0.01,0,9.97,1.28,0,0,0,0,3.39,0,0.22,0,1.07,0.69,0.67,1.19,1.22,1.23,2.51,2.86,0,0.53,3.61,0.22,0,0,0,0,0.64,0,0.41,3,0,0,0,0,0,0,0,0.34,0.38,0.19,0.14,0,0,0.28,0.36,0.1,0.15,0.2,0.15,0.1,0,0.15,0.28,0.63,0.15,0.19,1.09,0.18,0.04,1,0.15,0.19,0.58,0.21,0.27,0.34,0.14,0.12,0.32,0,0.32,0.12,0.13,0.11,0,0.18,0.4,0.61,0.07,0.08,0.08,0.11,0.1,0,0,0.7,0.07,0.08,0.05,0,0.07,0.06,0,0.14,0,0.06,0.05,0.03,0,0.06,0.05,0.08,0.03,0.04,0.05,0.03,0.04,0.04,0.06,0.03,0.03,0.17,0.04,0.02,0.03,0.16,0.03,0.02,0.02,0.12,0.03,0.02,0.02,0.03,0,0.03,0.02,0.1,0.11,0.02,0.02,0.03,0.03,0.01,0.03,0.02,0.09,0.02,0.02,0,0,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.03,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0,0.01,1.25
2024-02,0,0,7.94,30.18,0.03,0,0.09,0,4.09,0,0,0,2.72,0,0,4.47,0,0,0.05,1.67,1.42,1.67,0,0.84,10.46,0,0,0,0,3.98,0,2.07,0.02,1,0.93,0.75,1.28,0.93,1.28,1.61,1.09,0,0.49,0.59,0.23,0,0,0,0.92,3.16,0,0.44,0.23,0,0,0,0,0,0,0,0.36,0.38,0.15,0.13,0,0.37,0.29,0.33,0.11,0.14,0.19,0.15,0.11,0,0.11,0.37,0.41,0.13,0.19,0.58,0.2,0.03,0.53,0.16,0.19,0.94,0.2,0.22,0.25,0.12,0.13,0.26,0,0.19,0.14,0.12,0.13,0,0.13,0.48,0.29,0.09,0.09,0.06,0.11,0.07,0,0,0.03,0.06,0.09,0.07,0,0.07,0.06,0,0.1,0,0.06,0.06,0.05,0,0.06,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.08,0.04,0.02,0.03,0.13,0.03,0.02,0.03,0.04,0.02,0.02,0.02,0.02,0,0.02,0.03,0.05,0.06,0.02,0.02,0.02,0.02,0.03,0,0.02,0.05,0.02,0.02,0.05,0,0.02,0.02,0.01,0.02,0.02,0.03,0.03,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0,0.01,1.15
2024-03,0,0.04,1.99,7.08,0.08,0,7.11,0,28.02,0,0,0,2.82,0,0,0.89,0,0,0.95,1.62,1.36,12.02,0,0.17,0.62,0,0.02,0,0,1.32,0,4.85,0.91,0.93,0.83,1.53,0.84,0.7,0.74,0.5,0.54,0,0.43,0.02,1.36,0,1.24,0,3.14,0.21,0,0.46,0.06,0,0,0,0,0,0,0,0.38,0.39,0.83,0.74,0,1.32,0.31,0.32,0.36,0.75,0.23,0.17,0.68,0,0.21,0.16,0.19,0.17,0.21,0.04,0.19,0.22,0.02,0.18,0.19,0.04,0.19,0.17,0.13,0.12,0.14,0.14,0,0.09,0.13,0.15,0.17,0,0.08,0.1,0.02,0.09,0.1,0.06,0.11,0.17,0,0,0,0.07,0.08,0.08,0,0.07,0.07,0.2,0.05,0,0.06,0.07,0.06,0,0.06,0.06,0.09,0.06,0.04,0.05,0.05,0.05,0.05,0.19,0.06,0.08,0.02,0.06,0.03,0.03,0,0.03,0.04,0.06,0.01,0.05,0.03,0.04,0.05,0,0.02,0.03,0,0.01,0.02,0.04,0.05,0.05,0.02,0.02,0.01,0,0.02,0.02,0,0,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.04,0.03,0.01,0.01,1.23
2024-04,0.04,0.11,1.15,2.17,9.24,0,26.68,0,5.11,0,0,0,2.18,0.04,0,0.59,0.01,0,4.97,1.49,1.27,0.8,0,0.08,0.11,0,3.73,0,0,0.61,0.02,1.7,8.79,0.88,1.01,1.96,0.74,0.69,0.59,0.47,0.37,0,0.41,0.01,2.23,0,3.05,0,0.17,0.04,0,0.45,0.04,0,0,0,0.01,1.36,0,0,0.34,0.36,1.19,1.18,0.17,1.03,0.09,0.28,0.36,1.13,0.55,0.17,1.12,0,0.25,0.12,0.16,0.16,0.21,0.03,0.11,0.22,0.01,0.16,0.18,0.01,0.17,0.16,0.11,0.1,0.15,0.1,0,0.08,0.13,0.15,0.12,0,0.06,0.01,0.01,0.07,0.09,0.05,0.1,0.17,0,0,0,0.07,0.08,0.07,0,0.07,0.06,0.41,0.04,0,0.06,0.06,0.06,0,0.05,0.05,0.05,0.13,0.04,0.05,0.05,0.04,0.03,0.03,0.05,0.04,0.01,0.04,0.03,0.03,0,0.03,0.04,0.02,0.01,0.02,0.02,0.02,0.02,0,0.02,0.02,0,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0.02,0.02,0,0,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.79
2024-05,0.09,9.41,0.88,1.43,30.65,0,5.29,0,1.22,0.06,0,0,2.12,0.91,0,0.38,0.02,0,6.96,1.56,1.36,0.12,0,0.06,0.06,0,8.62,0,0,0.38,4.64,0.46,0.51,0.93,0.84,1.01,0.76,0.65,0.64,0.36,0.3,0,0.4,0.01,0.37,0,0.23,0,0.05,0.03,0,0.45,0.03,0,0,0,2.01,2.45,0.01,0.01,0.34,0.36,0.28,0.27,1.18,0.41,0.1,0.29,0.4,0.22,0.3,0.32,0.2,0,0.23,0.19,0.19,0.19,0.26,0.02,0.14,0.27,0.01,0.16,0.19,0.01,0.16,0.15,0.14,0.13,0.14,0.12,0,0.1,0.13,0.14,0.11,0,0.1,0.02,0.01,0.09,0.09,0.11,0.1,0.12,0,0,0,0.09,0.08,0.07,0,0.06,0.06,0.05,0.05,0,0.06,0.06,0.06,0.1,0.05,0.06,0.05,0.02,0.05,0.05,0.05,0.05,0.03,0.01,0.03,0.03,0.01,0.04,0.03,0.03,0,0.03,0.04,0.02,0.01,0.03,0.02,0.01,0.02,0,0.02,0.02,0,0.01,0.02,0.02,0.01,0.02,0.03,0.02,0.03,0,0.02,0.02,0,0,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0,0.02,0.01,0.01,0.73
2024-06,13.41,24.89,0.5,0.91,4.56,0,1.24,0,0.57,0.14,0,0.05,4.15,6.73,0.01,0.24,6.36,0,1.59,1.53,1.39,0.07,0,0.05,0.04,0,0.42,0.01,0.02,0.33,7.37,0.36,0.11,0.91,0.73,0.88,0.73,0.67,0.53,0.25,0.26,0,0.34,0.01,0.27,0.01,0.08,0,0.03,0.02,0,0.36,0.02,0,0,0,2.23,0.12,0.02,2.3,0.34,0.35,0.26,0.21,1.14,0.03,1.55,0.29,0.26,0.15,0.2,0.39,0.14,0,0.25,0.2,0.13,0.2,0.17,0.02,0.08,0.17,0.01,0.16,0.17,0,0.15,0.17,0.1,0.21,0.15,0.08,0,0.11,0.16,0.12,0.12,0,0.13,0.01,0.01,0.09,0.09,0.13,0.1,0.05,0,0,0,0.11,0.07,0.08,0.08,0.06,0.06,0,0.05,0,0.06,0.05,0.06,0.56,0.05,0.06,0.04,0.03,0.06,0.05,0.05,0.04,0.04,0.01,0.03,0.02,0.01,0.03,0.03,0.03,0,0.02,0.03,0.02,0.01,0.03,0.02,0.02,0.02,0,0.02,0.03,0.01,0.01,0.03,0.02,0.01,0.02,0.02,0.02,0.07,0,0.02,0.02,0,0,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0,0,0.01,0.01,0.74
2024-07,35.45,4.05,0.36,0.79,1.2,0,0.71,0,0.96,3.8,0.01,0.06,4.22,8.12,0.05,0.26,12.77,0,0.66,1.33,1.41,0.05,0,0.05,0.04,0,0.11,0.01,1.68,0.2,0.35,0.21,0.04,0.87,0.73,0.68,0.78,0.67,0.48,0.18,0.19,0,0.65,0.01,0.07,3.13,0.05,0,0.23,0.02,0,0.32,0.02,0.01,0,0,0.13,0.08,0.05,1.82,0.38,0.33,0.14,0.12,0.73,0,0.11,0.2,0.23,0.04,0.23,0.23,0.04,0,0.22,0.19,0.09,0.2,0.18,0.02,0.13,0.19,0.01,0.17,0.17,0,0.14,0.11,0.09,0.18,0.15,0.09,0.15,0.11,0.14,0.12,0.13,0,0.12,0.01,0.01,0.09,0.1,0.16,0.09,0.08,0,0,0,0.1,0.07,0.09,0.62,0.06,0.06,0,0.04,0,0.06,0.05,0.07,0.03,0.05,0.06,0.05,0.08,0.06,0.05,0.05,0.04,0.04,0.01,0.03,0.03,0.01,0.03,0.03,0.04,0,0.03,0.03,0.02,0.01,0.03,0.02,0.03,0.02,0,0.05,0.02,0.01,0,0.06,0.02,0.03,0.02,0.02,0.02,0.01,0,0.02,0.02,0,0,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0.02,0.78
2024-08,7.18,2.16,0.47,0.5,1.22,0.02,0.55,0,0.36,29.96,0.06,4.91,3.56,6.28,2.12,0.29,0.93,0,0.59,1.25,1.33,0.03,0.01,0.05,0.03,0.01,0.07,2.92,10.93,0.18,0.1,0.2,0.03,0.8,0.97,0.62,0.76,0.73,0.54,0.2,0.18,0,1.6,0.01,0.07,1.49,0.02,0,0.02,0.01,0,0.36,0.02,3.48,0,0.01,0.05,0.09,0.08,0.16,0.34,0.3,0.17,0.1,0.24,0,0.1,0.19,0.22,0.04,0.18,0.23,0.05,0,0.24,0.17,0.08,0.28,0.21,0.02,0.15,0.17,0.01,0.18,0.13,0,0.12,0.1,0.14,0.17,0.14,0.08,0.71,0.12,0.13,0.12,0.12,0.01,0.11,0.01,0.01,0.09,0.12,0.18,0.07,0.09,0,0,0,0.12,0.06,0.09,0.1,0.06,0.06,0,0.05,0,0.06,0.06,0.06,0.01,0.05,0.05,0.06,0.06,0.06,0.04,0.04,0.03,0.04,0.02,0.03,0.03,0.01,0.03,0.04,0.05,0,0.03,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0,0.03,0.02,0.01,0,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.02,0.02,0,0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.86
2024-09,2.11,1.54,0.42,0.56,1.23,0.07,0.51,0.03,0.29,5,7.77,30.7,2.11,1.31,7.38,0.24,0.13,0.01,0.5,1.24,1.25,0.02,0.03,0.05,0.02,3.77,0.03,10.5,0.61,0.16,0.05,0.19,0.02,0.87,0.91,0.5,0.7,0.7,0.45,0.1,0.16,0.04,0.27,0.02,0.04,0.13,0.02,0,0.01,0.01,0.01,0.31,0.01,1.05,0,3.89,0.03,0.07,0.57,0.06,0.37,0.35,0.05,0.19,0.04,0,0.07,0.19,0.26,0.03,0.16,0.23,0.03,0,0.22,0.18,0.08,0.21,0.2,0.01,0.13,0.21,0,0.17,0.13,0,0.12,0.1,0.09,0.17,0.14,0.08,0.78,0.09,0.12,0.13,0.12,0.51,0.09,0.01,0.01,0.09,0.13,0.11,0.08,0.06,0,0.14,0,0.08,0.06,0.06,0.01,0.06,0.06,0,0.04,0,0.06,0.05,0.06,0,0.05,0.05,0.04,0.02,0.05,0.04,0.03,0.04,0.04,0.01,0.03,0.03,0.01,0.02,0.04,0.04,0.01,0.04,0.02,0.02,0.01,0.02,0.02,0.03,0.02,0,0.02,0.02,0.01,0,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0,0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.02,0.01,0.81
2024-10,1.61,1.46,0.34,1.11,0.69,10.67,0.39,0.07,0.32,1.29,29.14,4.91,2.04,0.95,6.16,0.2,0.06,0.02,0.41,1.16,1.15,0.03,5.09,0.03,0.03,8.87,0.02,0.53,0.14,0.15,0.04,0.18,0.02,0.74,0.73,0.41,0.54,0.65,0.47,0.09,0.15,0.13,0.24,0.01,0.04,0.18,0.02,0.16,0.01,0.01,3.99,0.3,0.01,0.08,0,0.68,0.02,0.06,1.89,0.05,0.33,0.3,0.1,0.24,0,0,0.05,0.18,0.24,0.02,0.12,0.24,0.02,0.45,0.22,0.12,0.08,0.24,0.22,0.01,0.14,0.19,0.01,0.15,0.11,0,0.1,0.1,0.11,0.13,0.13,0.07,0.03,0.08,0.11,0.1,0.1,0.79,0.09,0.01,0.01,0.09,0.09,0.07,0.07,0.05,0.01,0.49,0,0.06,0.05,0.06,0,0.06,0.06,0,0.04,0,0.05,0.05,0.06,0,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.03,0.03,0.01,0.03,0.02,0.01,0.02,0.04,0.03,0,0.03,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0,0.01,0.02,0.01,0,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.04,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.74
