"Date","Chrome 138.0","Chrome 131.0","Chrome for Android","Chrome 142.0","Chrome 133.0","Chrome 132.0","Chrome 139.0","Chrome 143.0","Chrome 141.0","Chrome 134.0","Chrome 135.0","Chrome 140.0","Chrome 137.0","Chrome 125.0","Brave 0","Chrome 136.0","Chrome 130.0","Safari 18.6","Safari 18.3","Safari 18.5","Edge 143","Edge 138","Firefox 118.0","Edge 142","Safari 17.6","Edge 134","Edge 133","Edge 135","Edge 136","Edge 132","Edge 141","Edge 140","Edge 131","Edge 139","Chrome 117.0","Chrome 109.0","Edge 137","Safari 16.6","Chrome 144.0","Chrome 126.0","Safari 18.1","Safari 18.4","Firefox 11.0","Safari 15.6","Firefox 140.0","Safari 17.1","Firefox 135.0","Edge 144","Firefox 134.0","Chrome 79.0","Mozilla 0","Firefox 115.0","Chrome 121.0","Chrome 128.0","Firefox 136.0","Chrome 127.0","Chrome 103.0","Firefox 137.0","Chrome 83.0","Firefox 146.0","Chrome 116.0","Safari 18.2","Firefox 138.0","Chrome 124.0","Firefox 142.0","Firefox 139.0","Safari 17.5","Firefox 141.0","Firefox 144.0","Firefox 143.0","Firefox 145.0","Safari 26.2","Safari 26.1","Chrome 129.0","Chrome 122.0","Safari 26.0","Chrome 123.0","Opera 117.0","Opera 120.0","Chrome 120.0","Chrome 81.0","Safari 18.7","Opera 119.0","Safari 17.4","Firefox 133.0","Firefox 128.0","Safari 13.1","Firefox 147.0","Safari 14.1","Chrome 114.0","IE 11.0","Opera 122.0","Safari 15.1","Chrome 91.0","Safari 16.3","Opera 116.0","Edge 109","Opera 118.0","Opera 125.0","Safari 604.1","Chrome 56.0","Opera 124.0","Chrome 87.0","Safari 16.0","Safari 18.0","Chrome 48.0","Chrome 104.0","Safari 16.5","Chrome 119.0","Chrome 108.0","Safari 17.3","Chrome 118.0","Chrome 112.0","Chrome 115.0","Safari 17.8","Chrome 113.0","Opera 115.0","360 Safe Browser 0","Safari 16.1","Safari 17.2","Opera 123.0","Chrome 66.0","IE 9.0","Safari 14.0","Opera 95.0","Opera 114.0","Firefox 72.0","Chrome 49.0","Safari 16.2","Chrome 93.0","Chrome 107.0","Safari 16.4","Safari 537.36","Chrome 111.0","Chrome 99.0","Chrome 110.0","Safari 605.1","Firefox 78.0","Chrome 106.0","Chrome 97.0","Chrome 101.0","Safari 15.5","Opera 121.0","Edge 130","Edge 121","Safari 17.0","Chrome 105.0","Chrome 80.0","Chrome 52.0","Safari 17.7","Safari 12.1","Opera 126.0","Safari 15.3","Safari 15.4","Chrome 47.0","Chrome 53.0","IE 8.0","Chrome 58.0","Chrome 41.0","Firefox 125.0","Chrome 50.0","Chrome 51.0","Chrome 94.0","Chrome 60.0","Firefox 52.0","Firefox 44.0","Chrome 59.0","Chrome 90.0","Chrome 55.0","Chrome 57.0","Chrome 78.0","Chrome 54.0","Chrome 96.0","Chrome 43.0","Chrome 46.0","Firefox 94.0","Chrome 45.0","Chrome 44.0","Chrome 42.0","Chrome 85.0","Chrome 88.0","Chrome 39.0","Chrome 40.0","Firefox 59.0","Edge 129","Edge 120","Chrome 86.0","Chrome 76.0","Firefox 132.0","Chrome 102.0","Chrome 77.0","Firefox 45.0","Chrome 74.0","Chrome 84.0","Chrome 98.0","Safari 15.2","Safari 15.0","Edge 122","Edge 126","Safari 9.1","Chrome 100.0","Opera 92.0","Opera 93.0","Safari 11.1","Edge 128","Opera 90.0","Chrome 70.0","Opera 91.0","Chrome 92.0","Chrome 75.0","SeaMonkey 2.53","Firefox 131.0","Safari 17.9","Edge 127","Other"
2025-01,0,31.38,2.8,0,0.05,7.68,0,0,0,0.06,0,0,0,7.27,0,0,1.92,0,0.13,0,0,0,0.94,0,1.77,0.01,0.02,0,0,4.94,0,0,8.98,0,0.58,1.08,0,0.91,0,2.16,4.02,0,0.24,0.59,0,0.1,0.01,0,2.98,0.21,0.2,0.43,0.58,0.66,0,1.65,0.41,0,0.16,0,0.38,1.85,0,0.54,0,0,0.49,0,0,0,0,0,0,0.59,0.24,0,0.16,0,0,0.23,0.17,0,0,0.26,1.51,0.22,0.2,0,0.21,0.24,0.13,0,0.05,0.17,0.18,0.15,0.13,0,0,0.21,0.09,0,0.1,0.13,0.25,0.08,0.04,0.13,0.12,0.12,0.11,0.09,0.08,0.08,0.41,0.19,0.61,0.04,0.09,0.1,0,0.05,0.05,0.07,0.04,0.42,0.01,0.04,0.08,0.06,0.07,0.07,0.04,0.08,0.04,0.06,0.04,0.04,0.05,0.04,0.04,0.05,0,0.16,0.02,0.05,0.04,0.04,0.02,0.05,0.04,0,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.05,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0,0.03,0.01,0.01,0,0.02,0.02,0,0.01,0.02,0.05,0.02,0.01,0.02,0.06,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.03,0.01,0.01,0,0,0.01,0.03,0,0.01,0,0.02,0.01,0,0.05,0.07,0.03,0.93
2025-02,0,5.23,2.98,0,17.1,20.29,0,0,0,0.06,0.06,0,0,4.34,0,0,0.75,0,3.95,0,0,0,1.13,0,1.56,0.02,8.1,0.01,0,5.94,0,0,0.53,0,0.55,0.99,0,0.91,0,1.49,1.85,0.01,0.25,0.57,0,0.37,3.48,0,1.22,0.21,0.24,0.44,0.75,0.53,0.01,1.04,0.38,0,0.16,0,0.4,0.78,0,0.58,0,0,0.44,0,0,0,0,0,0,0.45,0.27,0,0.15,0.12,0,0.24,0.16,0,0,0.25,0.11,0.22,0.2,0,0.2,0.27,0.21,0,0.07,0.2,0.18,0.93,0.14,0,0,0.17,0.12,0,0.13,0.15,0.19,0.07,0.15,0.12,0.12,0.14,0.11,0.09,0.13,0.1,0.18,0.21,0.07,0.05,0.09,0.09,0,0.05,0.05,0.07,0.05,0.1,0.01,0.04,0.08,0.07,0.08,0.07,0.01,0.08,0.04,0.07,0.02,0.05,0.06,0.07,0.04,0.05,0,0.08,0.02,0.05,0.03,0.03,0.02,0.04,0.04,0,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.05,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0,0.03,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.03,0.03,0.02,0.02,0.04,0.01,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.03,0.01,0.01,0,0,0.01,0.02,0,0.01,0,0.02,0.01,0,0.02,0.03,0.02,0.91
2025-03,0,4.4,2.4,0,17.84,4.94,0,0,0,21.58,0.07,0,0,1.92,1.92,0.06,0.55,0,6.06,0,0,0,1,0,1.21,8.68,4.08,0.02,0.01,0.18,0,0,0.15,0,0.88,0.87,0,0.81,0,0.83,0.45,0.08,0.28,0.51,0,0.47,1.07,0,0.1,0.18,0.32,0.4,0.56,0.44,3.1,0.44,0.33,0.01,0.14,0,0.34,0.24,0,0.49,0,0,0.34,0,0,0,0,0,0,0.33,0.23,0,0.1,0.93,0,0.19,0.06,0,0,0.2,0.05,0.21,0.17,0,0.16,0.15,0.21,0,0.11,0.22,0.15,0.28,0.12,0,0,0.08,0.11,0,0.12,0.15,0.12,0.09,0.12,0.1,0.11,0.12,0.09,0.1,0.12,0.11,0.05,0.1,0,0.06,0.08,0.07,0,0.06,0.05,0.07,0.04,0.01,0.02,0.05,0.07,0.06,0.06,0.07,0.04,0.06,0.04,0.05,0.03,0.05,0.05,0.06,0.04,0.04,0,0.03,0.03,0.04,0.03,0.03,0.03,0.02,0.04,0,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0,0,0.01,0.01,0,0.01,0,0.02,0.02,0,0.01,0.01,0.01,1.1
2025-04,0,4.82,2.62,0,6.11,5.03,0,0,0,12.16,22.34,0,0.06,0.15,3.48,0.16,0.44,0,4.99,0.03,0,0,1.11,0,1.08,2.88,0.13,9.63,0.02,0.07,0,0,0.07,0,0.7,0.85,0.01,0.76,0,0.52,0.33,1.39,0.3,0.47,0,0.46,0.08,0,0.04,0.23,0.36,0.38,0.58,0.36,0.64,0.14,0.32,3.29,0.16,0,0.29,0.17,0.06,0.36,0,0,0.31,0,0,0,0,0,0,0.25,0.22,0,0.08,1.18,0,0.18,0.12,0,0,0.18,0.03,0.2,0.16,0,0.15,0.1,0.13,0,0.13,0.22,0.14,0.01,0.12,0.17,0,0.07,0.12,0,0.1,0.14,0.1,0.09,0.08,0.09,0.1,0.09,0.09,0.09,0.1,0.07,0.04,0.05,0,0.06,0.07,0.07,0,0.05,0.04,0.06,0.05,0.01,0.4,0.06,0.06,0.05,0.07,0.06,0.06,0.05,0.04,0.05,0.03,0.05,0.05,0.07,0.04,0.04,0,0.03,0.02,0.04,0.03,0.03,0.03,0.02,0.03,0,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0,0,0.01,0.01,0,0.01,0,0.02,0.01,0.01,0.01,0,0.01,0.88
2025-05,0.07,3.16,3.04,0,3.08,3.21,0.01,0,0,2.08,11.87,0,0.95,0.3,3.45,22.88,0.48,0,0.99,1.54,0,0.01,1.05,0,1.07,0.22,0.06,2,10.28,0.05,0,0,0.06,0,0.76,0.96,0.15,0.85,0,1.01,0.24,4.41,0.74,0.47,0,0.46,0.04,0,0.03,0.49,0.5,0.38,0.32,0.33,0.09,0.14,0.33,0.48,0.46,0,0.27,0.13,3.25,0.35,0,0.26,0.29,0,0,0,0,0,0,0.26,0.22,0,0.97,0.09,0,0.22,0.13,0,0.13,0.19,0.03,0.19,0.16,0,0.15,0.09,0.11,0,0.16,0.19,0.14,0,0.12,1.1,0,0.07,0.13,0,0.1,0.13,0.09,0.1,0.16,0.12,0.1,0.08,0.07,0.11,0.1,0.07,0.03,0.05,0,0.06,0.07,0.07,0,0.06,0.04,0.06,0.05,0.01,0.03,0.07,0.06,0.09,0.06,0.06,0.03,0.05,0.05,0.04,0.04,0.04,0.05,0.06,0.02,0.04,0,0.02,0.02,0.03,0.03,0.04,0.04,0.02,0.04,0,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.03,0.03,0.04,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.03,0.03,0.02,0.01,0.02,0.02,0.02,0.03,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0,0,0.01,0.02,0,0.02,0,0.01,0.02,0.01,0.01,0,0.01,0.95
2025-06,1.11,3.02,3.68,0,2.77,2.81,0.07,0,0,1.07,2.14,0.02,27.37,0.62,3.76,6.72,0.33,0.01,0.5,6.31,0,0.87,1.36,0,0.92,0.12,0.03,0.14,1.87,0.05,0,0,0.05,0.02,0.64,0.83,10.32,0.76,0,0.24,0.18,0.5,0.56,0.46,0.5,0.49,0.04,0,0.02,0.25,0.54,0.39,0.31,0.27,0.06,0.07,0.31,0.07,0.19,0,0.29,0.1,0.28,0.14,0,3.49,0.27,0,0,0,0,0,0,0.19,0.21,0.01,1.11,0.01,0,0.13,0.13,0,1.25,0.14,0.02,0.2,0.17,0,0.15,0.1,0.11,0,0.13,0.12,0.13,0,0.12,0.11,0,0.07,0.14,0,0.08,0.14,0.07,0.1,0.07,0.08,0.09,0.1,0.07,0.08,0.11,0.08,0.03,0.08,0,0.06,0.07,0.06,0,0.06,0.06,0.06,0.06,0.01,0.02,0.06,0.05,0.05,0.07,0.05,0.03,0.06,0.05,0.05,0.06,0.05,0.06,0.06,0.04,0.04,0,0.02,0.02,0.03,0.04,0.05,0.03,0.02,0.04,0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.04,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.02,0.01,0.02,0.02,0.04,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.03,0.02,0,0.01,0.01,0.01,0.01,0,0.01,0.92
2025-07,31.73,2.6,4,0,0.84,0.84,0.1,0,0,0.65,1.26,0.07,9.44,0.5,3.62,1.39,0.35,0.06,0.34,6.46,0,12.04,1.31,0,0.81,0.06,0.03,0.06,0.13,0.04,0,0.02,0.05,0.03,0.84,0.75,0.69,0.7,0,0.19,0.14,0.28,0.56,0.41,2.97,0.47,0.03,0,0.02,0.43,0.52,0.38,0.28,0.28,0.05,0.06,0.3,0.04,0.39,0,0.26,0.07,0.06,0.15,0,0.27,0.19,0.89,0,0,0,0,0,0.3,0.22,0.04,0.06,0.01,0.44,0.13,0.17,0,0.9,0.13,0.03,0.2,0.14,0,0.13,0.06,0.13,0,0.29,0.08,0.11,0,0.11,0.01,0,0.14,0.15,0,0.08,0.13,0.06,0.1,0.04,0.07,0.08,0.06,0.06,0.08,0.05,0.04,0.02,0.04,0,0.07,0.06,0.05,0,0.06,0.07,0.05,0.06,0.01,0.16,0.06,0.05,0.05,0.05,0.05,0.01,0.03,0.04,0.02,0.05,0.04,0.02,0.08,0.04,0.03,0.01,0.02,0.02,0.03,0.02,0.03,0.04,0.01,0.03,0,0.02,0.02,0.04,0.04,0.05,0.03,0.03,0.02,0.03,0.03,0.01,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.04,0.01,0.03,0.02,0.02,0.01,0.02,0.01,0.04,0.02,0.01,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0,0,0.01,0.01,0.07,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0.84
2025-08,25.5,0.79,4.05,0,0.25,0.61,17.82,0,0.01,0.75,0.64,0.06,2.61,0.53,3.59,0.72,0.38,4.01,0.28,2.66,0,4.34,1.39,0,0.73,0.05,0.02,0.04,0.06,0.03,0.01,0.02,0.06,8.33,0.95,0.72,0.1,0.66,0,0.25,0.13,0.21,0.35,0.39,0.21,0.44,0.06,0,0.02,0.43,0.43,0.37,0.2,0.27,0.04,0.12,0.32,0.03,0.38,0,0.26,0.06,0.03,0.16,1.19,0.07,0.22,2.66,0,0,0,0,0,0.16,0.27,0.07,0.08,0.01,1.28,0.15,0.3,0,0.04,0.11,0.01,0.18,0.14,0,0.11,0.07,0.15,0,0.19,0.06,0.1,0,0.11,0,0,0.13,0.12,0,0.13,0.11,0.05,0.09,0.03,0.08,0.09,0.04,0.05,0.14,0.01,0.08,0.02,0.03,0,0.07,0.05,0.04,0,0.06,0.07,0.04,0.07,0.01,0,0.06,0.05,0.05,0.01,0.04,0.02,0.02,0.05,0.01,0.04,0.04,0.01,0.02,0.04,0.03,0.01,0.02,0.02,0.03,0.02,0.04,0.03,0.03,0.03,0,0.02,0.02,0.03,0.02,0.05,0.03,0.02,0.02,0.02,0.03,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.03,0.01,0.01,0.02,0.01,0.02,0.01,0,0,0.01,0.01,0.06,0.02,0.03,0.01,0.01,0.01,0.01,0,0.01,0.86
2025-09,14.4,0.66,4.19,0.01,0.23,0.56,13.2,0,0.06,0.62,0.43,19.62,1,0.73,3.52,0.52,0.46,5.56,0.24,0.6,0,0.21,1.25,0.01,0.67,0.08,0.04,0.06,0.06,0.05,0.02,8.67,0.08,3.17,0.89,0.65,0.07,0.59,0,0.62,0.12,0.15,0.36,0.34,0.13,0.39,0.03,0,0.01,0.43,0.36,0.32,0.19,0.23,0.04,0.06,0.36,0.05,0.39,0,0.23,0.06,0.05,0.22,2.37,0.04,0.17,0.13,0.01,1.28,0,0,0.01,0.12,0.21,0.37,0.07,0.01,0.71,0.12,0.31,0.1,0.01,0.11,0.01,0.12,0.12,0,0.1,0.08,0.11,0.13,0.34,0.05,0.08,0,0.1,0.01,0,0.11,0.11,0,0.1,0.03,0.05,0.08,0.04,0.06,0.08,0.04,0.05,0.08,0.05,0.04,0.02,0.02,0,0.07,0.04,0.04,0,0.05,0.06,0.04,0.05,0.02,0,0.05,0.04,0.04,0.01,0.04,0.05,0.01,0.03,0.01,0.04,0.03,0.01,0,0.03,0.03,0.32,0.03,0.01,0.02,0.01,0.03,0.03,0.11,0.02,0,0.02,0.02,0.02,0.02,0.06,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.01,0.03,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.05,0.02,0,0,0.01,0.02,0.01,0.02,0.08,0.01,0.01,0.01,0.01,0,0.01,0.8
2025-10,2.28,0.54,3.62,0.4,0.12,0.38,3.38,0.01,18.96,0.21,0.15,10.41,0.8,12.8,2.71,0.27,11.08,3.93,0.18,0.4,0,0.07,1.02,0.02,0.52,0.03,0.02,0.03,0.03,0.02,7.89,1.89,0.03,0.11,0.74,0.5,0.03,0.45,0,0.71,0.08,0.11,0.32,0.25,0.16,0.31,0.02,0,0.01,0.37,0.28,0.25,0.15,0.18,0.03,0.05,0.24,0.03,0.33,0,0.19,0.05,0.03,0.19,0.13,0.02,0.12,0.04,1.35,1.57,0,0,0.04,0.06,0.2,0.94,0.04,0.01,0.11,0.09,0.36,0.29,0.01,0.08,0.01,0.05,0.09,0,0.07,0.08,0.06,0.82,0.08,0.03,0.06,0,0.08,0.01,0,0.08,0.05,0,0.04,0.01,0.05,0.06,0.06,0.04,0.05,0.02,0.04,0.04,0.02,0.04,0.01,0.01,0,0.04,0.03,0.03,0.01,0.04,0.05,0.03,0.04,0.01,0,0.04,0.03,0.03,0.01,0.03,0.04,0.01,0.04,0.01,0.03,0.03,0.01,0,0.03,0.02,0.09,0.01,0.08,0.02,0.01,0.02,0.03,0.02,0.02,0,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0,0.01,0.05,0,0.01,0.01,0,0.01,0.02,0.01,0.01,0.01,0,0,0,0.43
